timestamp,node,temperature,pressure,flow_rate,status
2026-03-01 08:00:00,chiller,2.65,1.34,0.18,operational
2026-03-01 08:00:00,dispenser,8.2,2.24,0.67,operational
2026-03-01 08:00:00,booster,32.62,3.52,1.1,operational
2026-03-01 08:00:05,chiller,2.41,1.14,0.15,warning
2026-03-01 08:00:05,dispenser,6.38,1.76,1.19,operational
2026-03-01 08:00:05,booster,32.85,4.27,1.6,warning
2026-03-01 08:00:10,chiller,3.23,1.36,0.15,operational
2026-03-01 08:00:10,dispenser,6.55,2.15,0.55,warning
2026-03-01 08:00:10,booster,25.52,3.14,1.83,operational
2026-03-01 08:00:15,chiller,3.04,1.26,0.08,operational
2026-03-01 08:00:15,dispenser,8.6,2.48,1.47,warning
2026-03-01 08:00:15,booster,30.28,4.04,1.08,operational
2026-03-01 08:00:20,chiller,3.71,1.5,0.14,operational
2026-03-01 08:00:20,dispenser,5.09,1.88,0.61,operational
2026-03-01 08:00:20,booster,23.6,3.43,1.1,operational
2026-03-01 08:00:25,chiller,3.25,1.27,0.13,operational
2026-03-01 08:00:25,dispenser,4.76,1.57,1.04,operational
2026-03-01 08:00:25,booster,24.24,4.39,1.73,warning
2026-03-01 08:00:30,chiller,4.39,1.06,0.13,operational
2026-03-01 08:00:30,dispenser,5.04,2.3,1.48,warning
2026-03-01 08:00:30,booster,27.39,2.76,1.26,warning
2026-03-01 08:00:35,chiller,4.91,1.29,0.18,operational
2026-03-01 08:00:35,dispenser,5.07,1.95,1.18,operational
2026-03-01 08:00:35,booster,23.02,2.78,1.88,warning
2026-03-01 08:00:40,chiller,4.99,1.39,0.16,operational
2026-03-01 08:00:40,dispenser,9.83,2.41,0.73,operational
2026-03-01 08:00:40,booster,26.33,4.38,1.62,warning
2026-03-01 08:00:45,chiller,5.63,1.35,0.07,warning
2026-03-01 08:00:45,dispenser,7.25,2.44,1.41,warning
2026-03-01 08:00:45,booster,30.22,3.79,1.06,operational
2026-03-01 08:00:50,chiller,4.12,1.24,0.1,operational
2026-03-01 08:00:50,dispenser,4.89,2.33,0.91,operational
2026-03-01 08:00:50,booster,25.4,4.3,1.88,warning
2026-03-01 08:00:55,chiller,5.55,1.25,0.1,warning
2026-03-01 08:00:55,dispenser,7.4,1.7,0.61,operational
2026-03-01 08:00:55,booster,29.6,3.85,1.49,operational
2026-03-01 08:01:00,chiller,5.52,1.2,0.19,warning
2026-03-01 08:01:00,dispenser,4.73,2.5,1.14,operational
2026-03-01 08:01:00,booster,34.89,3.81,1.99,operational
2026-03-01 08:01:05,chiller,3.44,1.33,0.07,operational
2026-03-01 08:01:05,dispenser,5.96,1.66,1.13,operational
2026-03-01 08:01:05,booster,22.66,4.39,1.33,warning
2026-03-01 08:01:10,chiller,3.36,1.48,0.01,operational
2026-03-01 08:01:10,dispenser,6.52,2.06,0.63,operational
2026-03-01 08:01:10,booster,27.37,2.93,1.07,operational
2026-03-01 08:01:15,chiller,2.32,1.2,0.09,warning
2026-03-01 08:01:15,dispenser,8.17,1.68,1.18,operational
2026-03-01 08:01:15,booster,23.7,2.54,1.37,warning
2026-03-01 08:01:20,chiller,4.2,1.19,0.02,operational
2026-03-01 08:01:20,dispenser,5.24,1.65,1.42,warning
2026-03-01 08:01:20,booster,34.81,2.54,1.25,warning
2026-03-01 08:01:25,chiller,2.28,1.5,0.02,warning
2026-03-01 08:01:25,dispenser,4.24,2.07,0.74,operational
2026-03-01 08:01:25,booster,21.97,4.49,1.95,warning
2026-03-01 08:01:30,chiller,3.22,1.4,0.1,operational
2026-03-01 08:01:30,dispenser,4.26,2.44,0.8,operational
2026-03-01 08:01:30,booster,26.13,2.82,1.21,operational
2026-03-01 08:01:35,chiller,4.94,1.32,0.15,operational
2026-03-01 08:01:35,dispenser,8.66,1.98,0.99,operational
2026-03-01 08:01:35,booster,24.7,4.4,1.28,warning
2026-03-01 08:01:40,chiller,3.15,1.13,0.01,operational
2026-03-01 08:01:40,dispenser,9.51,2.25,1.13,operational
2026-03-01 08:01:40,booster,21.94,3.98,1.38,operational
2026-03-01 08:01:45,chiller,4.39,1.13,0.18,operational
2026-03-01 08:01:45,dispenser,9.5,1.9,1.45,warning
2026-03-01 08:01:45,booster,24.56,3.76,1.54,operational
2026-03-01 08:01:50,chiller,2.16,1.49,0.09,warning
2026-03-01 08:01:50,dispenser,7.62,2.06,1.05,operational
2026-03-01 08:01:50,booster,32.96,2.71,1.61,warning
2026-03-01 08:01:55,chiller,5.21,1.41,0.07,operational
2026-03-01 08:01:55,dispenser,5.09,1.56,0.9,operational
2026-03-01 08:01:55,booster,26.1,4.12,1.91,operational
2026-03-01 08:02:00,chiller,3.97,1.09,0.17,operational
2026-03-01 08:02:00,dispenser,9.63,1.87,0.86,operational
2026-03-01 08:02:00,booster,20.99,2.59,1.67,warning
2026-03-01 08:02:05,chiller,5.79,1.05,0.02,warning
2026-03-01 08:02:05,dispenser,7.18,1.54,0.85,operational
2026-03-01 08:02:05,booster,23.3,3.85,1.18,operational
2026-03-01 08:02:10,chiller,2.94,1.41,0.16,operational
2026-03-01 08:02:10,dispenser,5.01,2.39,0.86,operational
2026-03-01 08:02:10,booster,27.68,3.73,1.0,operational
2026-03-01 08:02:15,chiller,4.55,1.02,0.03,operational
2026-03-01 08:02:15,dispenser,4.11,2.3,0.82,operational
2026-03-01 08:02:15,booster,23.96,2.65,1.5,warning
2026-03-01 08:02:20,chiller,2.83,1.22,0.01,operational
2026-03-01 08:02:20,dispenser,4.53,1.8,1.18,operational
2026-03-01 08:02:20,booster,22.92,4.29,1.68,warning
2026-03-01 08:02:25,chiller,4.76,1.19,0.14,operational
2026-03-01 08:02:25,dispenser,5.26,1.71,0.66,operational
2026-03-01 08:02:25,booster,20.32,3.96,1.23,operational
2026-03-01 08:02:30,chiller,5.06,1.35,0.11,operational
2026-03-01 08:02:30,dispenser,4.34,1.5,1.25,operational
2026-03-01 08:02:30,booster,30.3,3.24,1.34,operational
2026-03-01 08:02:35,chiller,5.81,1.38,0.03,warning
2026-03-01 08:02:35,dispenser,6.69,2.31,1.32,warning
2026-03-01 08:02:35,booster,20.08,4.38,1.26,warning
2026-03-01 08:02:40,chiller,3.17,1.01,0.17,operational
2026-03-01 08:02:40,dispenser,9.59,1.53,1.2,operational
2026-03-01 08:02:40,booster,27.03,3.3,1.08,operational
2026-03-01 08:02:45,chiller,5.26,1.33,0.01,operational
2026-03-01 08:02:45,dispenser,5.93,1.9,1.27,operational
2026-03-01 08:02:45,booster,30.84,3.12,1.85,operational
2026-03-01 08:02:50,chiller,5.51,1.4,0.05,warning
2026-03-01 08:02:50,dispenser,4.59,1.6,0.73,operational
2026-03-01 08:02:50,booster,26.6,2.74,1.4,warning
2026-03-01 08:02:55,chiller,3.58,1.38,0.08,operational
2026-03-01 08:02:55,dispenser,9.6,1.73,1.2,operational
2026-03-01 08:02:55,booster,22.87,3.6,1.71,operational
2026-03-01 08:03:00,chiller,2.42,1.46,0.03,warning
2026-03-01 08:03:00,dispenser,7.51,2.1,1.49,warning
2026-03-01 08:03:00,booster,25.14,3.13,1.96,operational
2026-03-01 08:03:05,chiller,3.94,1.35,0.06,operational
2026-03-01 08:03:05,dispenser,6.45,1.97,0.82,operational
2026-03-01 08:03:05,booster,20.52,4.17,1.37,operational
2026-03-01 08:03:10,chiller,4.18,1.36,0.05,operational
2026-03-01 08:03:10,dispenser,9.73,2.12,1.28,operational
2026-03-01 08:03:10,booster,34.29,4.16,1.5,operational
2026-03-01 08:03:15,chiller,2.59,1.44,0.03,operational
2026-03-01 08:03:15,dispenser,5.47,1.59,1.34,warning
2026-03-01 08:03:15,booster,30.23,3.41,1.91,operational
2026-03-01 08:03:20,chiller,2.37,1.1,0.07,warning
2026-03-01 08:03:20,dispenser,6.19,2.33,1.41,warning
2026-03-01 08:03:20,booster,28.18,4.37,1.97,warning
2026-03-01 08:03:25,chiller,4.12,1.26,0.12,operational
2026-03-01 08:03:25,dispenser,4.02,1.63,1.36,warning
2026-03-01 08:03:25,booster,33.22,2.56,1.76,warning
2026-03-01 08:03:30,chiller,4.77,1.31,0.18,operational
2026-03-01 08:03:30,dispenser,4.86,2.24,0.6,operational
2026-03-01 08:03:30,booster,21.86,3.97,1.66,operational
2026-03-01 08:03:35,chiller,5.23,1.36,0.13,operational
2026-03-01 08:03:35,dispenser,9.55,2.1,1.23,operational
2026-03-01 08:03:35,booster,24.35,2.67,1.8,warning
2026-03-01 08:03:40,chiller,5.79,1.18,0.12,warning
2026-03-01 08:03:40,dispenser,4.68,1.96,0.91,operational
2026-03-01 08:03:40,booster,23.0,3.37,1.6,operational
2026-03-01 08:03:45,chiller,3.45,1.14,0.06,operational
2026-03-01 08:03:45,dispenser,4.26,1.86,1.35,warning
2026-03-01 08:03:45,booster,31.5,4.37,1.21,warning
2026-03-01 08:03:50,chiller,5.42,1.49,0.11,operational
2026-03-01 08:03:50,dispenser,8.62,2.0,1.03,operational
2026-03-01 08:03:50,booster,26.47,4.07,1.63,operational
2026-03-01 08:03:55,chiller,2.21,1.3,0.14,warning
2026-03-01 08:03:55,dispenser,5.9,1.52,0.8,operational
2026-03-01 08:03:55,booster,26.93,3.88,1.97,operational
2026-03-01 08:04:00,chiller,2.12,1.01,0.06,warning
2026-03-01 08:04:00,dispenser,8.01,1.53,0.96,operational
2026-03-01 08:04:00,booster,20.92,3.59,1.97,operational
2026-03-01 08:04:05,chiller,2.76,1.19,0.16,operational
2026-03-01 08:04:05,dispenser,4.4,1.96,0.89,operational
2026-03-01 08:04:05,booster,22.9,4.26,1.09,warning
2026-03-01 08:04:10,chiller,2.55,1.4,0.05,operational
2026-03-01 08:04:10,dispenser,9.33,1.75,1.43,warning
2026-03-01 08:04:10,booster,31.27,3.72,1.88,operational
2026-03-01 08:04:15,chiller,4.34,1.21,0.1,operational
2026-03-01 08:04:15,dispenser,7.03,1.8,0.95,operational
2026-03-01 08:04:15,booster,26.27,3.74,1.36,operational
2026-03-01 08:04:20,chiller,4.28,1.08,0.15,operational
2026-03-01 08:04:20,dispenser,4.71,2.05,1.05,operational
2026-03-01 08:04:20,booster,29.01,3.25,1.97,operational
2026-03-01 08:04:25,chiller,2.41,1.5,0.08,warning
2026-03-01 08:04:25,dispenser,5.17,1.59,1.35,warning
2026-03-01 08:04:25,booster,26.66,2.82,1.87,operational
2026-03-01 08:04:30,chiller,5.09,1.21,0.15,operational
2026-03-01 08:04:30,dispenser,5.76,2.08,1.09,operational
2026-03-01 08:04:30,booster,24.81,2.81,1.49,operational
2026-03-01 08:04:35,chiller,2.93,1.34,0.06,operational
2026-03-01 08:04:35,dispenser,8.39,1.63,0.64,operational
2026-03-01 08:04:35,booster,21.91,3.7,1.55,operational
2026-03-01 08:04:40,chiller,5.22,1.15,0.12,operational
2026-03-01 08:04:40,dispenser,5.4,1.81,0.7,operational
2026-03-01 08:04:40,booster,20.34,3.37,1.94,operational
2026-03-01 08:04:45,chiller,4.12,1.41,0.07,operational
2026-03-01 08:04:45,dispenser,7.23,2.26,1.44,warning
2026-03-01 08:04:45,booster,25.65,3.71,1.43,operational
2026-03-01 08:04:50,chiller,3.73,1.27,0.04,operational
2026-03-01 08:04:50,dispenser,4.83,1.58,1.37,warning
2026-03-01 08:04:50,booster,29.55,4.3,1.19,warning
2026-03-01 08:04:55,chiller,4.2,1.46,0.04,operational
2026-03-01 08:04:55,dispenser,6.99,2.49,0.58,warning
2026-03-01 08:04:55,booster,30.33,2.54,1.53,warning
2026-03-01 08:05:00,chiller,5.07,1.28,0.18,operational
2026-03-01 08:05:00,dispenser,5.67,1.57,1.11,operational
2026-03-01 08:05:00,booster,28.06,2.93,1.15,operational
2026-03-01 08:05:05,chiller,5.23,1.37,0.08,operational
2026-03-01 08:05:05,dispenser,6.91,2.0,0.84,operational
2026-03-01 08:05:05,booster,26.18,2.66,1.23,warning
2026-03-01 08:05:10,chiller,4.96,1.03,0.04,operational
2026-03-01 08:05:10,dispenser,5.73,2.08,1.37,warning
2026-03-01 08:05:10,booster,29.34,4.01,1.5,operational
